imagename,duration,type,used,group,equation,a,b,answer
HANature/Berman_Nature__32.jpg,1.7,HANature,no,o,18 + 22,44,40,b
HANature/Berman_Nature__41.jpg,1.7,HANature,no,o,21 + 25,46,40,a
HANature/Berman_Nature__45.jpg,1.7,HANature,no,o,17 + 25,42,39,a
HANature/BotanicGardens_0044.JPG,1.7,HANature,no,o,8 + 22,30,28,a
HANature/BotanicGardens_0059.JPG,5.3,HANature,no,o,28 + 12,40,36,a
HANature/Hyalite_0084.JPG,5.3,HANature,no,o,29 + 10,39,41,a
HANature/Hyalite_0218.JPG,5.3,HANature,yes,o,22 + 7,29,31,a
HANature/Hyalite_0230.JPG,5.3,HANature,no,o,10 + 24,42,34,b
HANature/Hyalite_0237.JPG,7.1,HANature,no,o,13 + 16,27,29,b
HANature/Practice.jpg,7.1,HANature,no,o,13 + 26,34,39,b
HANature/Ranch_5.jpeg,7.1,HANature,no,o,30 + 9,36,39,b
HANature/Tarryall_0618.JPG,7.1,HANature,no,o,8 + 11,19,27,a
HANature/Vacation_1449.JPG,3.5,HANature,no,o,21 + 4,21,25,b
HANature/Vacation_5469.JPG,3.5,HANature,no,o,9 + 24,31,33,b
HANature/Vacation_5553.JPG,3.5,HANature,no,o,29 + 19,48,55,a
HANature/Vacation_5558.JPG,3.5,HANature,yes,o,14 + 11,25,32,a
HANature/Vacation_5663.JPG,1.7,HANature,no,o,19 + 20,42,39,b
HANature/Vacation_5756.JPG,1.7,HANature,no,o,5 + 7,6,12,b
HANature/Vacation_7596.JPG,1.7,HANature,no,o,22 + 28,50,57,a
HANature/Vacation_7657.JPG,1.7,HANature,yes,o,17 + 28,41,45,b
HAUrban/Billings_0243.JPG,5.3,HAUrban,no,o,19 + 15,32,34,b
HAUrban/Billings_0277.JPG,5.3,HAUrban,no,o,6 + 17,15,23,b
HAUrban/Billings_0299.JPG,5.3,HAUrban,no,o,26 + 25,59,51,b
HAUrban/Billings_0310.JPG,5.3,HAUrban,no,o,22 + 13,35,38,a
HAUrban/CO_Blvrd_11.jpg,7.1,HAUrban,no,o,5 + 13,26,18,b
HAUrban/CO_Blvrd_21.jpg,7.1,HAUrban,no,o,23 + 17,33,40,b
HAUrban/CO_Blvrd_28.jpg,7.1,HAUrban,yes,o,25 + 6,31,38,a
HAUrban/CO_Blvrd_4.jpg,7.1,HAUrban,no,o,18 + 27,45,37,a
HAUrban/CO_Blvrd_8.jpg,3.5,HAUrban,no,o,10 + 18,28,25,a
HAUrban/Downtown_0306.jpg,3.5,HAUrban,no,o,17 + 10,24,27,b
HAUrban/Downtown_0330.jpg,3.5,HAUrban,no,o,9 + 19,28,34,a
HAUrban/Downtown_0345.jpg,3.5,HAUrban,no,o,14 + 7,21,28,a
HAUrban/Downtown_0353.jpg,1.7,HAUrban,yes,o,10 + 25,35,37,a
HAUrban/Downtown_0392.jpg,1.7,HAUrban,no,o,5 + 19,24,20,a
HAUrban/DTC_32.jpg,1.7,HAUrban,no,o,23 + 18,36,41,b
HAUrban/DU_20.jpg,1.7,HAUrban,no,o,11 + 23,27,34,b
HAUrban/Golden_47.jpg,5.3,HAUrban,yes,o,19 + 23,46,42,b
HAUrban/Golden_71.jpg,5.3,HAUrban,no,o,7 + 23,37,30,b
HAUrban/Urban_Berman_15.jpg,5.3,HAUrban,no,o,13 + 30,43,47,a
