imagename,duration,type,used,group,equation,a,b,answer
HANature/Berman_Nature__19.jpg,7.1,HANature,no,q,18 + 22,44,40,b
HANature/Berman_Nature__36.jpg,7.1,HANature,no,q,21 + 25,46,40,a
HANature/Berman_Nature__46.jpg,7.1,HANature,no,q,17 + 25,42,39,a
HANature/BotanicGardens_0043.JPG,7.1,HANature,no,q,8 + 22,30,28,a
HANature/BotanicGardens_0893.JPG,3.5,HANature,no,q,28 + 12,40,36,a
HANature/Hyalite_0141.JPG,3.5,HANature,no,q,29 + 10,39,41,a
HANature/Hyalite_0229.JPG,3.5,HANature,no,q,22 + 7,29,31,a
HANature/Hyalite_0231.JPG,3.5,HANature,no,q,10 + 24,42,34,b
HANature/Hyalite_0239.JPG,1.7,HANature,no,q,13 + 16,27,29,b
HANature/Ranch_4.jpeg,1.7,HANature,no,q,13 + 26,34,39,b
HANature/Tarryall_0607.JPG,1.7,HANature,no,q,30 + 9,36,39,b
HANature/Vacation_0924.JPG,1.7,HANature,no,q,8 + 11,19,27,a
HANature/Vacation_2692.JPG,5.3,HANature,no,q,21 + 4,21,25,b
HANature/Vacation_5473.JPG,5.3,HANature,no,q,9 + 24,31,33,b
HANature/Vacation_5514.JPG,5.3,HANature,no,q,29 + 19,48,55,a
HANature/Vacation_5647.JPG,5.3,HANature,yes,q,14 + 11,25,32,a
HANature/Vacation_5661.JPG,7.1,HANature,no,q,19 + 20,42,39,b
HANature/Vacation_5672.JPG,7.1,HANature,no,q,5 + 7,6,12,b
HANature/Vacation_6668.JPG,7.1,HANature,no,q,22 + 28,50,57,a
HANature/Vacation_7629.JPG,7.1,HANature,no,q,17 + 28,41,45,b
HAUrban/16thStreetMall_0760.JPG,3.5,HAUrban,no,q,19 + 15,32,34,b
HAUrban/Billings_0270.JPG,3.5,HAUrban,no,q,6 + 17,15,23,b
HAUrban/Billings_0295.JPG,3.5,HAUrban,no,q,26 + 25,59,51,b
HAUrban/Billings_0309.JPG,3.5,HAUrban,no,q,22 + 13,35,38,a
HAUrban/CO_Blvrd_12.jpg,1.7,HAUrban,no,q,5 + 13,26,18,b
HAUrban/CO_Blvrd_22.jpg,1.7,HAUrban,yes,q,23 + 17,33,40,b
HAUrban/CO_Blvrd_3.jpg,1.7,HAUrban,no,q,25 + 6,31,38,a
