imagename,duration,type,used,group,equation,a,b,answer
HANature/Berman_Nature__19.jpg,3.5,HANature,no,r,18 + 22,44,40,b
HANature/Berman_Nature__36.jpg,3.5,HANature,no,r,21 + 25,46,40,a
HANature/Berman_Nature__46.jpg,3.5,HANature,no,r,17 + 25,42,39,a
HANature/BotanicGardens_0043.JPG,3.5,HANature,no,r,8 + 22,30,28,a
HANature/BotanicGardens_0893.JPG,7.1,HANature,no,r,28 + 12,40,36,a
HANature/Hyalite_0141.JPG,7.1,HANature,no,r,29 + 10,39,41,a
HANature/Hyalite_0229.JPG,7.1,HANature,no,r,22 + 7,29,31,a
HANature/Hyalite_0231.JPG,7.1,HANature,no,r,10 + 24,42,34,b
HANature/Hyalite_0239.JPG,5.3,HANature,no,r,13 + 16,27,29,b
HANature/Ranch_4.jpeg,5.3,HANature,no,r,13 + 26,34,39,b
HANature/Tarryall_0607.JPG,5.3,HANature,yes,r,30 + 9,36,39,b
HANature/Vacation_0924.JPG,5.3,HANature,no,r,8 + 11,19,27,a
HANature/Vacation_2692.JPG,1.7,HANature,no,r,21 + 4,21,25,b
HANature/Vacation_5473.JPG,1.7,HANature,no,r,9 + 24,31,33,b
HANature/Vacation_5514.JPG,1.7,HANature,no,r,29 + 19,48,55,a
HANature/Vacation_5647.JPG,1.7,HANature,no,r,14 + 11,25,32,a
HANature/Vacation_5661.JPG,3.5,HANature,no,r,19 + 20,42,39,b
HANature/Vacation_5672.JPG,3.5,HANature,no,r,5 + 7,6,12,b
HANature/Vacation_6668.JPG,3.5,HANature,no,r,22 + 28,50,57,a
HANature/Vacation_7629.JPG,3.5,HANature,no,r,17 + 28,41,45,b
HAUrban/16thStreetMall_0760.JPG,7.1,HAUrban,no,r,19 + 15,32,34,b
HAUrban/Billings_0270.JPG,7.1,HAUrban,no,r,6 + 17,15,23,b
HAUrban/Billings_0295.JPG,7.1,HAUrban,yes,r,26 + 25,59,51,b
HAUrban/Billings_0309.JPG,7.1,HAUrban,no,r,22 + 13,35,38,a
HAUrban/CO_Blvrd_12.jpg,5.3,HAUrban,no,r,5 + 13,26,18,b
HAUrban/CO_Blvrd_22.jpg,5.3,HAUrban,no,r,23 + 17,33,40,b
HAUrban/CO_Blvrd_3.jpg,5.3,HAUrban,no,r,25 + 6,31,38,a
HAUrban/CO_Blvrd_41.jpg,5.3,HAUrban,no,r,18 + 27,45,37,a
HAUrban/Downtown_0304.jpg,1.7,HAUrban,no,r,10 + 18,28,25,a
HAUrban/Downtown_0324.jpg,1.7,HAUrban,yes,r,17 + 10,24,27,b
HAUrban/Downtown_0344.jpg,1.7,HAUrban,no,r,9 + 19,28,34,a
HAUrban/Downtown_0351.jpg,1.7,HAUrban,no,r,14 + 7,21,28,a
HAUrban/Downtown_0354.jpg,3.5,HAUrban,yes,r,10 + 25,35,37,a
HAUrban/DTC_12.jpg,3.5,HAUrban,no,r,5 + 19,24,20,a
HAUrban/DTC_47.jpg,3.5,HAUrban,no,r,23 + 18,36,41,b
HAUrban/DU_24.jpg,3.5,HAUrban,no,r,11 + 23,27,34,b
HAUrban/Golden_40.jpg,7.1,HAUrban,no,r,19 + 23,46,42,b
HAUrban/Golden_64.jpg,7.1,HAUrban,no,r,7 + 23,37,30,b
HAUrban/Golden_78.jpg,7.1,HAUrban,no,r,13 + 30,43,47,a
HAUrban/Urban_Berman_24.jpg,7.1,HAUrban,no,r,26 + 11,37,43,a
LANature/05H.jpg,5.3,LANature,no,r,5 + 14,19,12,a
LANature/09L.jpg,5.3,LANature,no,r,28 + 11,42,39,b
LANature/17H.jpg,5.3,LANature,no,r,16 + 17,33,25,a
LANature/23L.jpg,5.3,LANature,no,r,4 + 11,18,15,b
LANature/28L.jpg,1.7,LANature,yes,r,11 + 21,32,26,a
