imagename,duration,type,used,group,equation,a,b,answer
HANature/Berman_Nature__32.jpg,5.3,HANature,no,t,18 + 22,44,40,b
HANature/Berman_Nature__41.jpg,5.3,HANature,no,t,21 + 25,46,40,a
HANature/Berman_Nature__45.jpg,5.3,HANature,no,t,17 + 25,42,39,a
HANature/BotanicGardens_0044.JPG,5.3,HANature,no,t,8 + 22,30,28,a
HANature/BotanicGardens_0059.JPG,1.7,HANature,no,t,28 + 12,40,36,a
HANature/Hyalite_0084.JPG,1.7,HANature,no,t,29 + 10,39,41,a
HANature/Hyalite_0218.JPG,1.7,HANature,no,t,22 + 7,29,31,a
HANature/Hyalite_0230.JPG,1.7,HANature,yes,t,10 + 24,42,34,b
HANature/Hyalite_0237.JPG,3.5,HANature,yes,t,13 + 16,27,29,b
HANature/Practice.jpg,3.5,HANature,no,t,13 + 26,34,39,b
HANature/Ranch_5.jpeg,3.5,HANature,no,t,30 + 9,36,39,b
HANature/Tarryall_0618.JPG,3.5,HANature,no,t,8 + 11,19,27,a
HANature/Vacation_1449.JPG,7.1,HANature,no,t,21 + 4,21,25,b
HANature/Vacation_5469.JPG,7.1,HANature,no,t,9 + 24,31,33,b
HANature/Vacation_5553.JPG,7.1,HANature,no,t,29 + 19,48,55,a
HANature/Vacation_5558.JPG,7.1,HANature,no,t,14 + 11,25,32,a
HANature/Vacation_5663.JPG,5.3,HANature,no,t,19 + 20,42,39,b
HANature/Vacation_5756.JPG,5.3,HANature,no,t,5 + 7,6,12,b
HANature/Vacation_7596.JPG,5.3,HANature,no,t,22 + 28,50,57,a
HANature/Vacation_7657.JPG,5.3,HANature,no,t,17 + 28,41,45,b
HAUrban/Billings_0243.JPG,1.7,HAUrban,no,t,19 + 15,32,34,b
HAUrban/Billings_0277.JPG,1.7,HAUrban,no,t,6 + 17,15,23,b
HAUrban/Billings_0299.JPG,1.7,HAUrban,no,t,26 + 25,59,51,b
HAUrban/Billings_0310.JPG,1.7,HAUrban,no,t,22 + 13,35,38,a
HAUrban/CO_Blvrd_11.jpg,3.5,HAUrban,yes,t,5 + 13,26,18,b
HAUrban/CO_Blvrd_21.jpg,3.5,HAUrban,no,t,23 + 17,33,40,b
HAUrban/CO_Blvrd_28.jpg,3.5,HAUrban,no,t,25 + 6,31,38,a
HAUrban/CO_Blvrd_4.jpg,3.5,HAUrban,no,t,18 + 27,45,37,a
HAUrban/CO_Blvrd_8.jpg,7.1,HAUrban,no,t,10 + 18,28,25,a
HAUrban/Downtown_0306.jpg,7.1,HAUrban,no,t,17 + 10,24,27,b
HAUrban/Downtown_0330.jpg,7.1,HAUrban,no,t,9 + 19,28,34,a
HAUrban/Downtown_0345.jpg,7.1,HAUrban,no,t,14 + 7,21,28,a
HAUrban/Downtown_0353.jpg,5.3,HAUrban,no,t,10 + 25,35,37,a
HAUrban/Downtown_0392.jpg,5.3,HAUrban,no,t,5 + 19,24,20,a
HAUrban/DTC_32.jpg,5.3,HAUrban,yes,t,23 + 18,36,41,b
HAUrban/DU_20.jpg,5.3,HAUrban,no,t,11 + 23,27,34,b
HAUrban/Golden_47.jpg,1.7,HAUrban,no,t,19 + 23,46,42,b
HAUrban/Golden_71.jpg,1.7,HAUrban,no,t,7 + 23,37,30,b
HAUrban/Urban_Berman_15.jpg,1.7,HAUrban,no,t,13 + 30,43,47,a
HAUrban/Urban_Berman_32.jpg,1.7,HAUrban,no,t,26 + 11,37,43,a
LANature/04H.jpg,3.5,LANature,no,t,5 + 14,19,12,a
LANature/08H.jpg,3.5,LANature,no,t,28 + 11,42,39,b
LANature/15L.jpg,3.5,LANature,no,t,16 + 17,33,25,a
LANature/22H.jpg,3.5,LANature,no,t,4 + 11,18,15,b
LANature/24L.jpg,7.1,LANature,no,t,11 + 21,32,26,a
LANature/29H.jpg,7.1,LANature,no,t,10 + 10,20,26,a
LANature/31L.jpg,7.1,LANature,yes,t,13 + 27,40,33,a
LANature/Aquarium_0261.JPG,7.1,LANature,no,t,29 + 14,43,41,a
