imagename,duration,type,used,group,equation,a,b,answer
HANature/Berman_Nature__32.jpg,7.1,HANature,yes,u,18 + 22,44,40,b
HANature/Berman_Nature__41.jpg,7.1,HANature,no,u,21 + 25,46,40,a
HANature/Berman_Nature__45.jpg,7.1,HANature,no,u,17 + 25,42,39,a
HANature/BotanicGardens_0044.JPG,7.1,HANature,no,u,8 + 22,30,28,a
HANature/BotanicGardens_0059.JPG,3.5,HANature,no,u,28 + 12,40,36,a
HANature/Hyalite_0084.JPG,3.5,HANature,no,u,29 + 10,39,41,a
HANature/Hyalite_0218.JPG,3.5,HANature,no,u,22 + 7,29,31,a
HANature/Hyalite_0230.JPG,3.5,HANature,no,u,10 + 24,42,34,b
HANature/Hyalite_0237.JPG,1.7,HANature,no,u,13 + 16,27,29,b
HANature/Practice.jpg,1.7,HANature,no,u,13 + 26,34,39,b
HANature/Ranch_5.jpeg,1.7,HANature,no,u,30 + 9,36,39,b
HANature/Tarryall_0618.JPG,1.7,HANature,no,u,8 + 11,19,27,a
HANature/Vacation_1449.JPG,5.3,HANature,yes,u,21 + 4,21,25,b
HANature/Vacation_5469.JPG,5.3,HANature,no,u,9 + 24,31,33,b
HANature/Vacation_5553.JPG,5.3,HANature,no,u,29 + 19,48,55,a
HANature/Vacation_5558.JPG,5.3,HANature,no,u,14 + 11,25,32,a
HANature/Vacation_5663.JPG,7.1,HANature,no,u,19 + 20,42,39,b
HANature/Vacation_5756.JPG,7.1,HANature,no,u,5 + 7,6,12,b
HANature/Vacation_7596.JPG,7.1,HANature,no,u,22 + 28,50,57,a
HANature/Vacation_7657.JPG,7.1,HANature,no,u,17 + 28,41,45,b
HAUrban/Billings_0243.JPG,3.5,HAUrban,no,u,19 + 15,32,34,b
HAUrban/Billings_0277.JPG,3.5,HAUrban,yes,u,6 + 17,15,23,b
HAUrban/Billings_0299.JPG,3.5,HAUrban,no,u,26 + 25,59,51,b
HAUrban/Billings_0310.JPG,3.5,HAUrban,no,u,22 + 13,35,38,a
HAUrban/CO_Blvrd_11.jpg,1.7,HAUrban,no,u,5 + 13,26,18,b
HAUrban/CO_Blvrd_21.jpg,1.7,HAUrban,no,u,23 + 17,33,40,b
HAUrban/CO_Blvrd_28.jpg,1.7,HAUrban,no,u,25 + 6,31,38,a
HAUrban/CO_Blvrd_4.jpg,1.7,HAUrban,no,u,18 + 27,45,37,a
HAUrban/CO_Blvrd_8.jpg,5.3,HAUrban,no,u,10 + 18,28,25,a
HAUrban/Downtown_0306.jpg,5.3,HAUrban,no,u,17 + 10,24,27,b
HAUrban/Downtown_0330.jpg,5.3,HAUrban,no,u,9 + 19,28,34,a
HAUrban/Downtown_0345.jpg,5.3,HAUrban,no,u,14 + 7,21,28,a
HAUrban/Downtown_0353.jpg,7.1,HAUrban,no,u,10 + 25,35,37,a
HAUrban/Downtown_0392.jpg,7.1,HAUrban,no,u,5 + 19,24,20,a
HAUrban/DTC_32.jpg,7.1,HAUrban,no,u,23 + 18,36,41,b
HAUrban/DU_20.jpg,7.1,HAUrban,no,u,11 + 23,27,34,b
HAUrban/Golden_47.jpg,3.5,HAUrban,no,u,19 + 23,46,42,b
HAUrban/Golden_71.jpg,3.5,HAUrban,no,u,7 + 23,37,30,b
HAUrban/Urban_Berman_15.jpg,3.5,HAUrban,no,u,13 + 30,43,47,a
HAUrban/Urban_Berman_32.jpg,3.5,HAUrban,no,u,26 + 11,37,43,a
LANature/04H.jpg,1.7,LANature,no,u,5 + 14,19,12,a
LANature/08H.jpg,1.7,LANature,no,u,28 + 11,42,39,b
LANature/15L.jpg,1.7,LANature,no,u,16 + 17,33,25,a
LANature/22H.jpg,1.7,LANature,no,u,4 + 11,18,15,b
LANature/24L.jpg,5.3,LANature,no,u,11 + 21,32,26,a
LANature/29H.jpg,5.3,LANature,no,u,10 + 10,20,26,a
LANature/31L.jpg,5.3,LANature,no,u,13 + 27,40,33,a
LANature/Aquarium_0261.JPG,5.3,LANature,yes,u,29 + 14,43,41,a
LANature/Aquarium_0442.JPG,7.1,LANature,no,u,24 + 25,45,49,b
LANature/Aquarium_0605.JPG,7.1,LANature,no,u,28 + 23,59,51,b
LANature/BotanicGardens_0176.JPG,7.1,LANature,no,u,26 + 29,60,55,b
LANature/BotanicGardens_0924.JPG,7.1,LANature,no,u,27 + 28,55,53,a
LANature/GotG_0060.jpg,3.5,LANature,no,u,26 + 17,50,43,b
