imagename,duration,type,used,group,equation,a,b,answer
HANature/Berman_Nature__17.jpg,3.5,HANature,no,v,18 + 22,44,40,b
HANature/Berman_Nature__34.jpg,3.5,HANature,no,v,21 + 25,46,40,a
HANature/Berman_Nature__43.jpg,3.5,HANature,no,v,17 + 25,42,39,a
HANature/Berman_Nature__49.jpg,3.5,HANature,no,v,8 + 22,30,28,a
HANature/Castlewood_Canyon_6.jpg,7.1,HANature,no,v,28 + 12,40,36,a
HANature/Hyalite_0159.JPG,7.1,HANature,no,v,29 + 10,39,41,a
HANature/Hyalite_0222.JPG,7.1,HANature,no,v,22 + 7,29,31,a
HANature/Hyalite_0236.JPG,7.1,HANature,no,v,10 + 24,42,34,b
HANature/Hyalite_0238.JPG,5.3,HANature,no,v,13 + 16,27,29,b
HANature/Ranch_1.jpeg,5.3,HANature,no,v,13 + 26,34,39,b
HANature/Tarryall_0613.JPG,5.3,HANature,no,v,30 + 9,36,39,b
HANature/Tarryall_0620.JPG,5.3,HANature,no,v,8 + 11,19,27,a
HANature/Vacation_1443.JPG,1.7,HANature,no,v,21 + 4,21,25,b
HANature/Vacation_2695.JPG,1.7,HANature,no,v,9 + 24,31,33,b
HANature/Vacation_5512.JPG,1.7,HANature,no,v,29 + 19,48,55,a
HANature/Vacation_5554.JPG,1.7,HANature,no,v,14 + 11,25,32,a
HANature/Vacation_5665.JPG,3.5,HANature,no,v,19 + 20,42,39,b
HANature/Vacation_6301.JPG,3.5,HANature,no,v,5 + 7,6,12,b
HANature/Vacation_7001.JPG,3.5,HANature,no,v,22 + 28,50,57,a
HANature/Vacation_7683.JPG,3.5,HANature,no,v,17 + 28,41,45,b
HAUrban/Billings_0250.JPG,7.1,HAUrban,no,v,19 + 15,32,34,b
HAUrban/Billings_0285.JPG,7.1,HAUrban,no,v,6 + 17,15,23,b
HAUrban/Billings_0306.JPG,7.1,HAUrban,no,v,26 + 25,59,51,b
HAUrban/Billings_0313.JPG,7.1,HAUrban,yes,v,22 + 13,35,38,a
HAUrban/Bozeman_0049.JPG,5.3,HAUrban,no,v,5 + 13,26,18,b
HAUrban/CO_Blvrd_14.jpg,5.3,HAUrban,no,v,23 + 17,33,40,b
HAUrban/CO_Blvrd_23.jpg,5.3,HAUrban,no,v,25 + 6,31,38,a
HAUrban/CO_Blvrd_38.jpg,5.3,HAUrban,no,v,18 + 27,45,37,a
HAUrban/CO_Blvrd_9.jpg,1.7,HAUrban,no,v,10 + 18,28,25,a
HAUrban/Downtown_0317.jpg,1.7,HAUrban,no,v,17 + 10,24,27,b
HAUrban/Downtown_0341.jpg,1.7,HAUrban,no,v,9 + 19,28,34,a
HAUrban/Downtown_0346.jpg,1.7,HAUrban,no,v,14 + 7,21,28,a
HAUrban/Downtown_0387.jpg,3.5,HAUrban,no,v,10 + 25,35,37,a
HAUrban/DTC_13.jpg,3.5,HAUrban,no,v,5 + 19,24,20,a
HAUrban/DU_19.jpg,3.5,HAUrban,no,v,23 + 18,36,41,b
HAUrban/DU_38.jpg,3.5,HAUrban,no,v,11 + 23,27,34,b
HAUrban/DU_43.jpg,7.1,HAUrban,no,v,19 + 23,46,42,b
HAUrban/Golden_62.jpg,7.1,HAUrban,no,v,7 + 23,37,30,b
HAUrban/Golden_77.jpg,7.1,HAUrban,no,v,13 + 30,43,47,a
HAUrban/Urban_Berman_19.jpg,7.1,HAUrban,yes,v,26 + 11,37,43,a
LANature/03L.jpg,5.3,LANature,no,v,5 + 14,19,12,a
LANature/06L.jpg,5.3,LANature,no,v,28 + 11,42,39,b
LANature/15H.jpg,5.3,LANature,no,v,16 + 17,33,25,a
LANature/20L.jpg,5.3,LANature,no,v,4 + 11,18,15,b
LANature/25L.jpg,1.7,LANature,no,v,11 + 21,32,26,a
LANature/29L.jpg,1.7,LANature,no,v,10 + 10,20,26,a
LANature/34L.jpg,1.7,LANature,no,v,13 + 27,40,33,a
LANature/Aquarium_0325.JPG,1.7,LANature,no,v,29 + 14,43,41,a
LANature/Aquarium_0465.JPG,3.5,LANature,no,v,24 + 25,45,49,b
LANature/Aquarium_0660.JPG,3.5,LANature,no,v,28 + 23,59,51,b
LANature/BotanicGardens_0836.JPG,3.5,LANature,no,v,26 + 29,60,55,b
LANature/BotanicGardens_0947.JPG,3.5,LANature,yes,v,27 + 28,55,53,a
LANature/BotanicGardens_0997.JPG,7.1,LANature,no,v,26 + 17,50,43,b
LANature/GotG_0072.jpg,7.1,LANature,no,v,4 + 29,33,35,a
LANature/Hyalite_0093.JPG,7.1,LANature,no,v,20 + 29,43,49,b
LANature/Hyalite_0191.JPG,7.1,LANature,no,v,24 + 29,53,48,a
LANature/Vacation_5781.JPG,5.3,LANature,yes,v,21 + 20,41,47,a
LANature/Vacation_7080.JPG,5.3,LANature,no,v,23 + 6,22,29,b
LANature/Vacation_7919.JPG,5.3,LANature,no,v,13 + 4,11,17,b
LANature/Zoo_0172.JPG,5.3,LANature,no,v,11 + 26,31,37,b
LAUrban/16thStreetMall_0756.JPG,1.7,LAUrban,no,v,21 + 13,27,34,b
LAUrban/16thStreetMall_0782.JPG,1.7,LAUrban,no,v,12 + 19,31,25,a
LAUrban/16thStreetMall_0813.JPG,1.7,LAUrban,no,v,24 + 11,27,35,b
LAUrban/Billings_0274.JPG,1.7,LAUrban,no,v,23 + 21,42,44,b
LAUrban/Billings_0280.JPG,3.5,LAUrban,no,v,5 + 20,31,25,b
LAUrban/Billings_0317.JPG,3.5,LAUrban,no,v,20 + 6,26,29,a
LAUrban/Bozeman_0012.JPG,3.5,LAUrban,no,v,15 + 28,43,40,a
LAUrban/CO_Blvrd_40.jpg,3.5,LAUrban,no,v,9 + 13,22,29,a
LAUrban/Downtown_0348.jpg,7.1,LAUrban,no,v,19 + 19,33,38,b
LAUrban/Downtown_0381.jpg,7.1,LAUrban,no,v,30 + 6,28,36,b
LAUrban/DTC_19.jpg,7.1,LAUrban,no,v,19 + 5,24,16,a
LAUrban/DTC_50.jpg,7.1,LAUrban,no,v,12 + 10,30,22,b
LAUrban/Golden_18.jpg,5.3,LAUrban,no,v,12 + 7,26,19,b
LAUrban/Golden_33.jpg,5.3,LAUrban,no,v,15 + 12,33,27,b
LAUrban/Golden_55.jpg,5.3,LAUrban,no,v,14 + 10,18,24,b
LAUrban/Urban_Berman_06.jpg,5.3,LAUrban,no,v,4 + 22,29,26,b
LAUrban/Urban_Berman_27.jpg,1.7,LAUrban,no,v,20 + 15,39,35,b
LAUrban/Urban_Berman_40.jpg,1.7,LAUrban,no,v,28 + 21,42,49,b
LAUrban/Vacation_8420.JPG,1.7,LAUrban,no,v,11 + 13,27,24,b
LAUrban/Vacation_8585.JPG,1.7,LAUrban,no,v,23 + 9,32,38,a
