imagename,duration,type,used,group,equation,a,b,answer
HANature/Berman_Nature__19.jpg,1.7,HANature,no,w,18 + 22,44,40,b
HANature/Berman_Nature__36.jpg,1.7,HANature,yes,w,21 + 25,46,40,a
HANature/Berman_Nature__46.jpg,1.7,HANature,no,w,17 + 25,42,39,a
HANature/BotanicGardens_0043.JPG,1.7,HANature,no,w,8 + 22,30,28,a
HANature/BotanicGardens_0893.JPG,5.3,HANature,no,w,28 + 12,40,36,a
HANature/Hyalite_0141.JPG,5.3,HANature,no,w,29 + 10,39,41,a
HANature/Hyalite_0229.JPG,5.3,HANature,no,w,22 + 7,29,31,a
HANature/Hyalite_0231.JPG,5.3,HANature,no,w,10 + 24,42,34,b
HANature/Hyalite_0239.JPG,7.1,HANature,no,w,13 + 16,27,29,b
HANature/Ranch_4.jpeg,7.1,HANature,no,w,13 + 26,34,39,b
HANature/Tarryall_0607.JPG,7.1,HANature,no,w,30 + 9,36,39,b
HANature/Vacation_0924.JPG,7.1,HANature,no,w,8 + 11,19,27,a
HANature/Vacation_2692.JPG,3.5,HANature,no,w,21 + 4,21,25,b
HANature/Vacation_5473.JPG,3.5,HANature,no,w,9 + 24,31,33,b
HANature/Vacation_5514.JPG,3.5,HANature,no,w,29 + 19,48,55,a
HANature/Vacation_5647.JPG,3.5,HANature,no,w,14 + 11,25,32,a
HANature/Vacation_5661.JPG,1.7,HANature,no,w,19 + 20,42,39,b
HANature/Vacation_5672.JPG,1.7,HANature,no,w,5 + 7,6,12,b
HANature/Vacation_6668.JPG,1.7,HANature,no,w,22 + 28,50,57,a
HANature/Vacation_7629.JPG,1.7,HANature,no,w,17 + 28,41,45,b
HAUrban/16thStreetMall_0760.JPG,5.3,HAUrban,no,w,19 + 15,32,34,b
HAUrban/Billings_0270.JPG,5.3,HAUrban,yes,w,6 + 17,15,23,b
HAUrban/Billings_0295.JPG,5.3,HAUrban,no,w,26 + 25,59,51,b
HAUrban/Billings_0309.JPG,5.3,HAUrban,yes,w,22 + 13,35,38,a
HAUrban/CO_Blvrd_12.jpg,7.1,HAUrban,no,w,5 + 13,26,18,b
HAUrban/CO_Blvrd_22.jpg,7.1,HAUrban,no,w,23 + 17,33,40,b
HAUrban/CO_Blvrd_3.jpg,7.1,HAUrban,no,w,25 + 6,31,38,a
HAUrban/CO_Blvrd_41.jpg,7.1,HAUrban,no,w,18 + 27,45,37,a
HAUrban/Downtown_0304.jpg,3.5,HAUrban,no,w,10 + 18,28,25,a
HAUrban/Downtown_0324.jpg,3.5,HAUrban,no,w,17 + 10,24,27,b
HAUrban/Downtown_0344.jpg,3.5,HAUrban,no,w,9 + 19,28,34,a
HAUrban/Downtown_0351.jpg,3.5,HAUrban,no,w,14 + 7,21,28,a
HAUrban/Downtown_0354.jpg,1.7,HAUrban,no,w,10 + 25,35,37,a
HAUrban/DTC_12.jpg,1.7,HAUrban,no,w,5 + 19,24,20,a
HAUrban/DTC_47.jpg,1.7,HAUrban,no,w,23 + 18,36,41,b
HAUrban/DU_24.jpg,1.7,HAUrban,no,w,11 + 23,27,34,b
HAUrban/Golden_40.jpg,5.3,HAUrban,no,w,19 + 23,46,42,b
HAUrban/Golden_64.jpg,5.3,HAUrban,no,w,7 + 23,37,30,b
HAUrban/Golden_78.jpg,5.3,HAUrban,no,w,13 + 30,43,47,a
HAUrban/Urban_Berman_24.jpg,5.3,HAUrban,no,w,26 + 11,37,43,a
LANature/05H.jpg,7.1,LANature,no,w,5 + 14,19,12,a
LANature/09L.jpg,7.1,LANature,no,w,28 + 11,42,39,b
LANature/17H.jpg,7.1,LANature,no,w,16 + 17,33,25,a
LANature/23L.jpg,7.1,LANature,no,w,4 + 11,18,15,b
LANature/28L.jpg,3.5,LANature,no,w,11 + 21,32,26,a
LANature/31H.jpg,3.5,LANature,no,w,10 + 10,20,26,a
LANature/39H.jpg,3.5,LANature,no,w,13 + 27,40,33,a
LANature/Aquarium_0343.JPG,3.5,LANature,no,w,29 + 14,43,41,a
LANature/Aquarium_0450.JPG,1.7,LANature,no,w,24 + 25,45,49,b
LANature/Aquarium_0632.JPG,1.7,LANature,no,w,28 + 23,59,51,b
LANature/BotanicGardens_0497.JPG,1.7,LANature,no,w,26 + 29,60,55,b
LANature/BotanicGardens_0941.JPG,1.7,LANature,yes,w,27 + 28,55,53,a
LANature/GotG_0053.jpg,5.3,LANature,no,w,26 + 17,50,43,b
LANature/GotG_0084.jpg,5.3,LANature,no,w,4 + 29,33,35,a
LANature/Hyalite_0174.JPG,5.3,LANature,no,w,20 + 29,43,49,b
LANature/Hyalite_0213.JPG,5.3,LANature,no,w,24 + 29,53,48,a
LANature/Vacation_1925.JPG,7.1,LANature,no,w,21 + 20,41,47,a
