imagename,duration,type,used,group,equation,a,b,answer
HANature/Berman_Nature__19.jpg,5.3,HANature,no,x,18 + 22,44,40,b
HANature/Berman_Nature__36.jpg,5.3,HANature,no,x,21 + 25,46,40,a
HANature/Berman_Nature__46.jpg,5.3,HANature,no,x,17 + 25,42,39,a
HANature/BotanicGardens_0043.JPG,5.3,HANature,no,x,8 + 22,30,28,a
HANature/BotanicGardens_0893.JPG,1.7,HANature,no,x,28 + 12,40,36,a
HANature/Hyalite_0141.JPG,1.7,HANature,no,x,29 + 10,39,41,a
HANature/Hyalite_0229.JPG,1.7,HANature,no,x,22 + 7,29,31,a
HANature/Hyalite_0231.JPG,1.7,HANature,no,x,10 + 24,42,34,b
HANature/Hyalite_0239.JPG,3.5,HANature,no,x,13 + 16,27,29,b
HANature/Ranch_4.jpeg,3.5,HANature,no,x,13 + 26,34,39,b
HANature/Tarryall_0607.JPG,3.5,HANature,no,x,30 + 9,36,39,b
HANature/Vacation_0924.JPG,3.5,HANature,no,x,8 + 11,19,27,a
HANature/Vacation_2692.JPG,7.1,HANature,yes,x,21 + 4,21,25,b
HANature/Vacation_5473.JPG,7.1,HANature,no,x,9 + 24,31,33,b
HANature/Vacation_5514.JPG,7.1,HANature,no,x,29 + 19,48,55,a
HANature/Vacation_5647.JPG,7.1,HANature,no,x,14 + 11,25,32,a
HANature/Vacation_5661.JPG,5.3,HANature,no,x,19 + 20,42,39,b
HANature/Vacation_5672.JPG,5.3,HANature,no,x,5 + 7,6,12,b
HANature/Vacation_6668.JPG,5.3,HANature,no,x,22 + 28,50,57,a
HANature/Vacation_7629.JPG,5.3,HANature,no,x,17 + 28,41,45,b
HAUrban/16thStreetMall_0760.JPG,1.7,HAUrban,no,x,19 + 15,32,34,b
HAUrban/Billings_0270.JPG,1.7,HAUrban,no,x,6 + 17,15,23,b
HAUrban/Billings_0295.JPG,1.7,HAUrban,no,x,26 + 25,59,51,b
HAUrban/Billings_0309.JPG,1.7,HAUrban,no,x,22 + 13,35,38,a
HAUrban/CO_Blvrd_12.jpg,3.5,HAUrban,no,x,5 + 13,26,18,b
HAUrban/CO_Blvrd_22.jpg,3.5,HAUrban,no,x,23 + 17,33,40,b
HAUrban/CO_Blvrd_3.jpg,3.5,HAUrban,no,x,25 + 6,31,38,a
HAUrban/CO_Blvrd_41.jpg,3.5,HAUrban,no,x,18 + 27,45,37,a
HAUrban/Downtown_0304.jpg,7.1,HAUrban,yes,x,10 + 18,28,25,a
HAUrban/Downtown_0324.jpg,7.1,HAUrban,no,x,17 + 10,24,27,b
HAUrban/Downtown_0344.jpg,7.1,HAUrban,no,x,9 + 19,28,34,a
HAUrban/Downtown_0351.jpg,7.1,HAUrban,no,x,14 + 7,21,28,a
HAUrban/Downtown_0354.jpg,5.3,HAUrban,no,x,10 + 25,35,37,a
HAUrban/DTC_12.jpg,5.3,HAUrban,no,x,5 + 19,24,20,a
HAUrban/DTC_47.jpg,5.3,HAUrban,no,x,23 + 18,36,41,b
HAUrban/DU_24.jpg,5.3,HAUrban,no,x,11 + 23,27,34,b
HAUrban/Golden_40.jpg,1.7,HAUrban,no,x,19 + 23,46,42,b
