imagename,duration,type,used,group,equation,a,b,answer
HANature/Berman_Nature__17.jpg,7.1,HANature,yes,y,18 + 22,44,40,b
HANature/Berman_Nature__34.jpg,7.1,HANature,yes,y,21 + 25,46,40,a
HANature/Berman_Nature__43.jpg,7.1,HANature,yes,y,17 + 25,42,39,a
HANature/Berman_Nature__49.jpg,7.1,HANature,no,y,8 + 22,30,28,a
HANature/Castlewood_Canyon_6.jpg,3.5,HANature,no,y,28 + 12,40,36,a
HANature/Hyalite_0159.JPG,3.5,HANature,no,y,29 + 10,39,41,a
HANature/Hyalite_0222.JPG,3.5,HANature,no,y,22 + 7,29,31,a
HANature/Hyalite_0236.JPG,3.5,HANature,yes,y,10 + 24,42,34,b
HANature/Hyalite_0238.JPG,1.7,HANature,no,y,13 + 16,27,29,b
HANature/Ranch_1.jpeg,1.7,HANature,no,y,13 + 26,34,39,b
HANature/Tarryall_0613.JPG,1.7,HANature,no,y,30 + 9,36,39,b
HANature/Tarryall_0620.JPG,1.7,HANature,no,y,8 + 11,19,27,a
HANature/Vacation_1443.JPG,5.3,HANature,no,y,21 + 4,21,25,b
HANature/Vacation_2695.JPG,5.3,HANature,no,y,9 + 24,31,33,b
HANature/Vacation_5512.JPG,5.3,HANature,yes,y,29 + 19,48,55,a
HANature/Vacation_5554.JPG,5.3,HANature,no,y,14 + 11,25,32,a
HANature/Vacation_5665.JPG,7.1,HANature,no,y,19 + 20,42,39,b
HANature/Vacation_6301.JPG,7.1,HANature,no,y,5 + 7,6,12,b
HANature/Vacation_7001.JPG,7.1,HANature,no,y,22 + 28,50,57,a
HANature/Vacation_7683.JPG,7.1,HANature,no,y,17 + 28,41,45,b
HAUrban/Billings_0250.JPG,3.5,HAUrban,no,y,19 + 15,32,34,b
HAUrban/Billings_0285.JPG,3.5,HAUrban,no,y,6 + 17,15,23,b
HAUrban/Billings_0306.JPG,3.5,HAUrban,no,y,26 + 25,59,51,b
HAUrban/Billings_0313.JPG,3.5,HAUrban,no,y,22 + 13,35,38,a
HAUrban/Bozeman_0049.JPG,1.7,HAUrban,no,y,5 + 13,26,18,b
HAUrban/CO_Blvrd_14.jpg,1.7,HAUrban,no,y,23 + 17,33,40,b
HAUrban/CO_Blvrd_23.jpg,1.7,HAUrban,yes,y,25 + 6,31,38,a
HAUrban/CO_Blvrd_38.jpg,1.7,HAUrban,yes,y,18 + 27,45,37,a
HAUrban/CO_Blvrd_9.jpg,5.3,HAUrban,no,y,10 + 18,28,25,a
HAUrban/Downtown_0317.jpg,5.3,HAUrban,no,y,17 + 10,24,27,b
HAUrban/Downtown_0341.jpg,5.3,HAUrban,no,y,9 + 19,28,34,a
HAUrban/Downtown_0346.jpg,5.3,HAUrban,no,y,14 + 7,21,28,a
HAUrban/Downtown_0387.jpg,7.1,HAUrban,no,y,10 + 25,35,37,a
HAUrban/DTC_13.jpg,7.1,HAUrban,no,y,5 + 19,24,20,a
HAUrban/DU_19.jpg,7.1,HAUrban,no,y,23 + 18,36,41,b
HAUrban/DU_38.jpg,7.1,HAUrban,no,y,11 + 23,27,34,b
HAUrban/DU_43.jpg,3.5,HAUrban,yes,y,19 + 23,46,42,b
HAUrban/Golden_62.jpg,3.5,HAUrban,no,y,7 + 23,37,30,b
HAUrban/Golden_77.jpg,3.5,HAUrban,no,y,13 + 30,43,47,a
HAUrban/Urban_Berman_19.jpg,3.5,HAUrban,no,y,26 + 11,37,43,a
LANature/03L.jpg,1.7,LANature,no,y,5 + 14,19,12,a
LANature/06L.jpg,1.7,LANature,no,y,28 + 11,42,39,b
LANature/15H.jpg,1.7,LANature,no,y,16 + 17,33,25,a
LANature/20L.jpg,1.7,LANature,no,y,4 + 11,18,15,b
LANature/25L.jpg,5.3,LANature,no,y,11 + 21,32,26,a
LANature/29L.jpg,5.3,LANature,no,y,10 + 10,20,26,a
LANature/34L.jpg,5.3,LANature,no,y,13 + 27,40,33,a
LANature/Aquarium_0325.JPG,5.3,LANature,no,y,29 + 14,43,41,a
LANature/Aquarium_0465.JPG,7.1,LANature,no,y,24 + 25,45,49,b
LANature/Aquarium_0660.JPG,7.1,LANature,no,y,28 + 23,59,51,b
LANature/BotanicGardens_0836.JPG,7.1,LANature,no,y,26 + 29,60,55,b
LANature/BotanicGardens_0947.JPG,7.1,LANature,no,y,27 + 28,55,53,a
LANature/BotanicGardens_0997.JPG,3.5,LANature,no,y,26 + 17,50,43,b
LANature/GotG_0072.jpg,3.5,LANature,no,y,4 + 29,33,35,a
LANature/Hyalite_0093.JPG,3.5,LANature,yes,y,20 + 29,43,49,b
LANature/Hyalite_0191.JPG,3.5,LANature,no,y,24 + 29,53,48,a
LANature/Vacation_5781.JPG,1.7,LANature,no,y,21 + 20,41,47,a
LANature/Vacation_7080.JPG,1.7,LANature,no,y,23 + 6,22,29,b
LANature/Vacation_7919.JPG,1.7,LANature,no,y,13 + 4,11,17,b
LANature/Zoo_0172.JPG,1.7,LANature,no,y,11 + 26,31,37,b
LAUrban/16thStreetMall_0756.JPG,5.3,LAUrban,no,y,21 + 13,27,34,b
LAUrban/16thStreetMall_0782.JPG,5.3,LAUrban,no,y,12 + 19,31,25,a
LAUrban/16thStreetMall_0813.JPG,5.3,LAUrban,no,y,24 + 11,27,35,b
LAUrban/Billings_0274.JPG,5.3,LAUrban,no,y,23 + 21,42,44,b
LAUrban/Billings_0280.JPG,7.1,LAUrban,no,y,5 + 20,31,25,b
LAUrban/Billings_0317.JPG,7.1,LAUrban,no,y,20 + 6,26,29,a
LAUrban/Bozeman_0012.JPG,7.1,LAUrban,no,y,15 + 28,43,40,a
LAUrban/CO_Blvrd_40.jpg,7.1,LAUrban,no,y,9 + 13,22,29,a
LAUrban/Downtown_0348.jpg,3.5,LAUrban,no,y,19 + 19,33,38,b
