imagename,duration,type,used,group,equation,a,b,answer
HANature/Berman_Nature__32.jpg,3.5,HANature,no,z,18 + 22,44,40,b
HANature/Berman_Nature__41.jpg,3.5,HANature,no,z,21 + 25,46,40,a
HANature/Berman_Nature__45.jpg,3.5,HANature,no,z,17 + 25,42,39,a
HANature/BotanicGardens_0044.JPG,3.5,HANature,no,z,8 + 22,30,28,a
HANature/BotanicGardens_0059.JPG,7.1,HANature,no,z,28 + 12,40,36,a
HANature/Hyalite_0084.JPG,7.1,HANature,no,z,29 + 10,39,41,a
HANature/Hyalite_0218.JPG,7.1,HANature,no,z,22 + 7,29,31,a
HANature/Hyalite_0230.JPG,7.1,HANature,no,z,10 + 24,42,34,b
HANature/Hyalite_0237.JPG,5.3,HANature,no,z,13 + 16,27,29,b
HANature/Practice.jpg,5.3,HANature,no,z,13 + 26,34,39,b
HANature/Ranch_5.jpeg,5.3,HANature,no,z,30 + 9,36,39,b
HANature/Tarryall_0618.JPG,5.3,HANature,no,z,8 + 11,19,27,a
HANature/Vacation_1449.JPG,1.7,HANature,no,z,21 + 4,21,25,b
HANature/Vacation_5469.JPG,1.7,HANature,no,z,9 + 24,31,33,b
HANature/Vacation_5553.JPG,1.7,HANature,no,z,29 + 19,48,55,a
HANature/Vacation_5558.JPG,1.7,HANature,no,z,14 + 11,25,32,a
HANature/Vacation_5663.JPG,3.5,HANature,yes,z,19 + 20,42,39,b
HANature/Vacation_5756.JPG,3.5,HANature,yes,z,5 + 7,6,12,b
HANature/Vacation_7596.JPG,3.5,HANature,no,z,22 + 28,50,57,a
HANature/Vacation_7657.JPG,3.5,HANature,no,z,17 + 28,41,45,b
HAUrban/Billings_0243.JPG,7.1,HAUrban,no,z,19 + 15,32,34,b
HAUrban/Billings_0277.JPG,7.1,HAUrban,no,z,6 + 17,15,23,b
HAUrban/Billings_0299.JPG,7.1,HAUrban,no,z,26 + 25,59,51,b
HAUrban/Billings_0310.JPG,7.1,HAUrban,no,z,22 + 13,35,38,a
HAUrban/CO_Blvrd_11.jpg,5.3,HAUrban,no,z,5 + 13,26,18,b
HAUrban/CO_Blvrd_21.jpg,5.3,HAUrban,no,z,23 + 17,33,40,b
HAUrban/CO_Blvrd_28.jpg,5.3,HAUrban,no,z,25 + 6,31,38,a
HAUrban/CO_Blvrd_4.jpg,5.3,HAUrban,no,z,18 + 27,45,37,a
HAUrban/CO_Blvrd_8.jpg,1.7,HAUrban,no,z,10 + 18,28,25,a
HAUrban/Downtown_0306.jpg,1.7,HAUrban,no,z,17 + 10,24,27,b
HAUrban/Downtown_0330.jpg,1.7,HAUrban,no,z,9 + 19,28,34,a
HAUrban/Downtown_0345.jpg,1.7,HAUrban,no,z,14 + 7,21,28,a
HAUrban/Downtown_0353.jpg,3.5,HAUrban,no,z,10 + 25,35,37,a
HAUrban/Downtown_0392.jpg,3.5,HAUrban,no,z,5 + 19,24,20,a
HAUrban/DTC_32.jpg,3.5,HAUrban,no,z,23 + 18,36,41,b
HAUrban/DU_20.jpg,3.5,HAUrban,no,z,11 + 23,27,34,b
HAUrban/Golden_47.jpg,7.1,HAUrban,no,z,19 + 23,46,42,b
HAUrban/Golden_71.jpg,7.1,HAUrban,no,z,7 + 23,37,30,b
HAUrban/Urban_Berman_15.jpg,7.1,HAUrban,no,z,13 + 30,43,47,a
HAUrban/Urban_Berman_32.jpg,7.1,HAUrban,no,z,26 + 11,37,43,a
LANature/04H.jpg,5.3,LANature,no,z,5 + 14,19,12,a
LANature/08H.jpg,5.3,LANature,no,z,28 + 11,42,39,b
LANature/15L.jpg,5.3,LANature,no,z,16 + 17,33,25,a
LANature/22H.jpg,5.3,LANature,no,z,4 + 11,18,15,b
LANature/24L.jpg,1.7,LANature,no,z,11 + 21,32,26,a
LANature/29H.jpg,1.7,LANature,yes,z,10 + 10,20,26,a
LANature/31L.jpg,1.7,LANature,no,z,13 + 27,40,33,a
LANature/Aquarium_0261.JPG,1.7,LANature,no,z,29 + 14,43,41,a
LANature/Aquarium_0442.JPG,3.5,LANature,no,z,24 + 25,45,49,b
LANature/Aquarium_0605.JPG,3.5,LANature,no,z,28 + 23,59,51,b
LANature/BotanicGardens_0176.JPG,3.5,LANature,no,z,26 + 29,60,55,b
LANature/BotanicGardens_0924.JPG,3.5,LANature,no,z,27 + 28,55,53,a
LANature/GotG_0060.jpg,7.1,LANature,yes,z,26 + 17,50,43,b
LANature/GotG_0100.jpg,7.1,LANature,no,z,4 + 29,33,35,a
LANature/Hyalite_0180.JPG,7.1,LANature,no,z,20 + 29,43,49,b
LANature/Tarryall_0622.JPG,7.1,LANature,no,z,24 + 29,53,48,a
LANature/Vacation_7034.JPG,5.3,LANature,no,z,21 + 20,41,47,a
LANature/Vacation_7082.JPG,5.3,LANature,no,z,23 + 6,22,29,b
LANature/Vacation_7996.JPG,5.3,LANature,yes,z,13 + 4,11,17,b
LANature/Zoo_0176.JPG,5.3,LANature,no,z,11 + 26,31,37,b
LAUrban/16thStreetMall_0740.JPG,1.7,LAUrban,yes,z,21 + 13,27,34,b
LAUrban/16thStreetMall_0765.JPG,1.7,LAUrban,no,z,12 + 19,31,25,a
LAUrban/16thStreetMall_0795.JPG,1.7,LAUrban,no,z,24 + 11,27,35,b
LAUrban/16thStreetMall_0838.JPG,1.7,LAUrban,no,z,23 + 21,42,44,b
LAUrban/Billings_0276.JPG,3.5,LAUrban,no,z,5 + 20,31,25,b
LAUrban/Billings_0290.JPG,3.5,LAUrban,yes,z,20 + 6,26,29,a
LAUrban/Bozeman_0008.JPG,3.5,LAUrban,no,z,15 + 28,43,40,a
LAUrban/Bozeman_0044.JPG,3.5,LAUrban,no,z,9 + 13,22,29,a
LAUrban/Downtown_0367.jpg,7.1,LAUrban,no,z,19 + 19,33,38,b
LAUrban/Downtown_0390.jpg,7.1,LAUrban,no,z,30 + 6,28,36,b
LAUrban/DTC_21.jpg,7.1,LAUrban,no,z,19 + 5,24,16,a
LAUrban/DU_17.jpg,7.1,LAUrban,no,z,12 + 10,30,22,b
LAUrban/DU_35.jpg,5.3,LAUrban,no,z,12 + 7,26,19,b
LAUrban/Golden_30.jpg,5.3,LAUrban,no,z,15 + 12,33,27,b
LAUrban/Golden_49.jpg,5.3,LAUrban,yes,z,14 + 10,18,24,b
LAUrban/Golden_65.jpg,5.3,LAUrban,no,z,4 + 22,29,26,b
LAUrban/Urban_Berman_35.jpg,1.7,LAUrban,no,z,20 + 15,39,35,b
LAUrban/Vacation_5018.JPG,1.7,LAUrban,no,z,28 + 21,42,49,b
LAUrban/Vacation_8448.JPG,1.7,LAUrban,no,z,11 + 13,27,24,b
LAUrban/Vacation_8664.JPG,1.7,LAUrban,no,z,23 + 9,32,38,a
